"pose_index","timestamp","yaw_deg","x","y","z","rx","ry","rz","data_file","info_file","log_folder"
"1","2025-08-14T00:41:43-05:00","-25","0.0027942807792289553","-0.4662647275478903","0.9801544914057262","-0.441979876933764","1.983296502584108","-1.9781722098327654","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004115.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004115.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004115"
"2","2025-08-14T00:42:13-05:00","-24.0","0.002785912185335547","-0.46627428814575844","0.9801510092915863","-0.4261250580939996","1.9938181678645654","-1.9886111100933417","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004145.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004145.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004145"
"3","2025-08-14T00:42:43-05:00","-23.0","0.0027868390858684713","-0.4663389089613143","0.9801222921410928","-0.4101097701534906","2.0042729237341033","-1.9989715451004026","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004215.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004215.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004215"
"4","2025-08-14T00:43:13-05:00","-22.0","0.0027842709225722115","-0.46631212860206483","0.9801341565110548","-0.3940240016377317","2.014548539732694","-2.009393606654133","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004246.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004246.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004246"
"5","2025-08-14T00:43:43-05:00","-21.0","0.0028033226934002092","-0.46635617835412857","0.9801069933651133","-0.3777763119970374","2.024887703167493","-2.0196126981300724","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004316.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004316.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004316"
"6","2025-08-14T00:44:13-05:00","-20.0","0.002801063459161049","-0.4664002405480675","0.980077152379943","-0.3613677267597108","2.0352005246623364","-2.029797995708227","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004346.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004346.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004346"
"7","2025-08-14T00:44:43-05:00","-19.0","0.002805064464997835","-0.466429091568516","0.9800671662301417","-0.34490234945584647","2.0454056069030564","-2.0400106084592387","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004416.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004416.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004416"
"8","2025-08-14T00:45:14-05:00","-18.0","0.002821720988245867","-0.4664147141287644","0.9800745329225071","-0.3282262439959414","2.0554259561445973","-2.050089169875553","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004446.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004446.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004446"
"9","2025-08-14T00:45:44-05:00","-17.0","0.002825300110633873","-0.4664727363533292","0.9800440782840809","-0.311396885799505","2.0655727145716427","-2.060062507961099","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004516.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004516.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004516"
"10","2025-08-14T00:46:14-05:00","-16.0","0.0027953359044174883","-0.46649668925425747","0.9800206705561416","-0.2944205138792209","2.0757143548429706","-2.069988550773362","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004546.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004546.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004546"
"11","2025-08-14T00:46:44-05:00","-15.0","0.0028080088969365327","-0.4664969415587541","0.9800305458818416","-0.2773134494687352","2.0855368432996886","-2.0799523247544527","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004616.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004616.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004616"
"12","2025-08-14T00:47:14-05:00","-14.0","0.00282551540752618","-0.46650633217774795","0.9800277020812086","-0.26016454095071395","2.0953613175249983","-2.089767716522863","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004647.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004647.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004647"
"13","2025-08-14T00:47:45-05:00","-13.0","0.0028324857385626755","-0.46654284484363534","0.980010786191755","-0.24279891469564424","2.105194383524476","-2.0995396965777084","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004717.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004717.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004717"
